ID,닉네임,국가,소속라인,Kim으로부터레벨,직급,패키지,투자금,상위계정ID,가입일,비고
KIM-L3-W03-2,KR_Shin_Gi,KR,Line3,3,White Dragon,Basic,$200,KIM-L3-W02-2,2025-04-05,
KIM-L3-W04-1,KR_Kwon_Tae,KR,Line3,4,White Dragon,Basic,$200,KIM-L3-W03-1,2025-04-15,
,,,,,,,,,,,
[LINE 4 - 베트남 라인 (거의 비활성) 3명],,,,,,,,,,,
KIM-L4-01,VN_Nguyen_Pro,VN,Line4,1,White Dragon,Basic,$200,LR-KIM-001,2025-03-08,Kim 직접추천
KIM-L4-02-1,VN_Tran_Duc,VN,Line4,2,White Dragon,Basic,$200,KIM-L4-01,2025-04-10,
KIM-L4-02-2,VN_Le_Van,VN,Line4,2,White Dragon,Basic,$200,KIM-L4-01,2025-04-18,
,,,,,,,,,,,
[LINE 5 - 중국2 라인 (거의 비활성) 2명],,,,,,,,,,,
KIM-L5-01,CN_Liu_Rise,CN,Line5,1,White Dragon,Basic,$200,LR-KIM-001,2025-03-12,Kim 직접추천
KIM-L5-02-1,CN_Chen_Bo,CN,Line5,2,White Dragon,Basic,$200,KIM-L5-01,2025-05-20,
,,,,,,,,,,,
[전체 합계],,,,,,,,,,,
[Kim 하부조직 총합: 108명 (Line1:86 + Line2:9 + Line3:8 + Line4:3 + Line5:2)],,,,,,,,,,,
[Blue Dragon 직급자 총합: 21명 (척추 20명 + Tanaka 1명)],,,,,,,,,,,
[White Dragon 직급자 총합: 87명],,,,,,,,,,,
[팀매출 총합: 약 $28500],,,,,,,,,,,
